,time,ro
0,0.001,86293353016.6211
1,0.002,171778494180.91797
2,0.003,256462993096.57812
3,0.004,340354348470.4082
4,0.005,423459988777.34863
5,0.006,505787272918.25195
6,0.007,587343490871.498
7,0.008,668135864338.5166
8,0.009,748171547383.2666
9,0.01,827457627065.7041
10,0.011,906001124069.3496
11,0.012,983808993322.9512
12,0.013,1060888124616.335
13,0.014,1137245343210.4883
14,0.015,1212887410441.9326
15,0.016,1287821024321.4268
16,0.017,1362052820127.0645
17,0.018,1435589370991.83
18,0.019,1508437188485.629
19,0.02,1580602723191.8906
20,0.021,1652092365278.75
21,0.022,1722912445064.8955
22,0.023,1793069233580.1074
23,0.024,1862568943120.5527
24,0.025,1931417727798.871
25,0.026,1999621684089.1182
26,0.027,2067186851366.6025
27,0.028,2134119212442.6592
28,0.029,2200424694094.422
29,0.03,2266109167589.6377
30,0.031,2331178449206.548
31,0.032,2395638300748.9287
32,0.033,2459494430056.2744
33,0.034,2522752491509.2354
34,0.035,2585418086530.294
35,0.036,2647496764079.7705
36,0.037,2708994021147.175
37,0.038,2769915303237.958
38,0.039,2830266004855.704
39,0.04,2890051469979.8086
40,0.041,2949276992538.6797
41,0.042,3007947816878.51
42,0.043,3066069138227.6533
43,0.044,3123646103156.663
44,0.045,3180683810034.008
45,0.046,3237187309477.5293
46,0.047,3293161604801.662
47,0.048,3348611652460.4844
48,0.049,3403542362486.59
49,0.05,3457958598925.875
50,0.051,3511865180268.24
51,0.052,3565266879874.2646
52,0.053,3618168426397.878
53,0.054,3670574504205.077
54,0.055,3722489753788.7227
55,0.056,3773918772179.4473
56,0.057,3824866113352.718
57,0.058,3875336288632.085
58,0.059,3925333767088.6533
59,0.06,3974862975936.8125
60,0.061,4023928300926.2646
61,0.062,4072534086730.371
62,0.063,4120684637330.874
63,0.064,4168384216399.002
64,0.065,4215637047673.0225
65,0.066,4262447315332.2373
66,0.067,4308819164367.494
67,0.068,4354756700948.2197
68,0.069,4400263992786.01
69,0.07,4445345069494.829
70,0.071,4490003922947.82
71,0.072,4534244507630.787
72,0.073,4578070740992.351
73,0.074,4621486503790.843
74,0.075,4664495640437.9375
75,0.076,4707101959339.068
76,0.077,4749309233230.662
77,0.078,4791121199514.205
78,0.079,4832541560587.189
79,0.08,4873573984170.954
80,0.081,4914222103635.455
81,0.082,4954489518321.0
82,0.083,4994379793856.961
83,0.084,5033896462477.512
84,0.085,5073043023334.394
85,0.086,5111822942806.773
86,0.087,5150239654808.175
87,0.088,5188296561090.557
88,0.089,5225997031545.529
89,0.09,5263344404502.753
90,0.091,5300341987025.545
91,0.092,5336993055203.718
92,0.093,5373300854443.67
93,0.094,5409268599755.761
94,0.095,5444899476039.001
95,0.096,5480196638363.069
96,0.097,5515163212247.686
97,0.098,5549802293939.381
98,0.099,5584116950685.655
99,0.1,5618110221006.589
100,0.101,5651785114963.891
101,0.102,5685144614427.444
102,0.103,5718191673339.338
103,0.104,5750929217975.443
104,0.105,5783360147204.528
105,0.106,5815487332744.945
106,0.107,5847313619418.928
107,0.108,5878841825404.481
108,0.109,5910074742484.947
109,0.11,5941015136296.194
110,0.111,5971665746571.527
111,0.112,6002029287384.275
112,0.113,6032108447388.126
113,0.114,6061905890055.202
114,0.115,6091424253911.905
115,0.116,6120666152772.558
116,0.117,6149634175970.852
117,0.118,6178330888589.127
118,0.119,6206758831685.516
119,0.12,6234920522518.939
120,0.121,6262818454772.014
121,0.122,6290455098771.865
122,0.123,6317832901708.865
123,0.124,6344954287853.336
124,0.125,6371821658770.211
125,0.126,6398437393531.691
126,0.127,6424803848927.912
127,0.128,6450923359675.629
128,0.129,6476798238624.96
129,0.13,6502430776964.178
130,0.131,6527823244422.602
131,0.132,6552977889471.567
132,0.133,6577896939523.539
133,0.134,6602582601129.333
134,0.135,6627037060173.513
135,0.136,6651262482067.939
136,0.137,6675261011943.525
137,0.138,6699034774840.173
138,0.139,6722585875894.949
139,0.14,6745916400528.496
140,0.141,6769028414629.684
141,0.142,6791923964738.55
142,0.143,6814605078227.517
143,0.144,6837073763480.907
144,0.145,6859332010072.793
145,0.146,6881381788943.16
146,0.147,6903225052572.443
147,0.148,6924863735154.405
148,0.149,6946299752767.414
149,0.15,6967535003544.107
150,0.151,6988571367839.469
151,0.152,7009410708397.334
152,0.153,7030054870515.33
153,0.154,7050505682208.278
154,0.155,7070764954370.061
155,0.156,7090834480933.969
156,0.157,7110716039031.565
157,0.158,7130411389150.032
158,0.159,7149922275288.072
159,0.16,7169250425110.33
160,0.161,7188397550100.377
161,0.162,7207365345712.264
162,0.163,7226155491520.645
163,0.164,7244769651369.508
164,0.165,7263209473519.506
165,0.166,7281476590793.898
166,0.167,7299572620723.153
167,0.168,7317499165688.158
168,0.169,7335257813062.124
169,0.17,7352850135351.139
170,0.171,7370277690333.409
171,0.172,7387542021197.205
172,0.173,7404644656677.501
173,0.174,7421587111191.35
174,0.175,7438370884971.977
175,0.176,7454997464201.629
176,0.177,7471468321143.171
177,0.178,7487784914270.451
178,0.179,7503948688397.45
